Date,NIFTY,ETF,Variance
2019-05-02,117.2475,122.029999,39.19117462256147
2019-05-03,117.1225,122.269997,42.09942852946991
2019-05-06,115.9825,120.709999,39.16410437547924
2019-05-07,114.97900390999999,120.760002,47.87179524889385
2019-05-08,113.59450195,118.739998,43.33414297345706
2019-05-09,113.01799805,117.709999,39.86068294843834
2019-05-10,112.78900390999999,117.699997,41.72466622917591
2019-05-13,111.48200195,116.610001,43.97563678950658
2019-05-14,112.22049805,117.029999,41.096308562730144
2019-05-15,111.57,117.019997,46.57321090172315
2019-05-16,112.57099609000001,117.379997,40.96950956643826
2019-05-17,114.07150390999999,118.730003,39.23607321057683
2019-05-20,118.2825,123.019997,38.50997492708445
2019-05-21,117.09099609,118.599998,12.723456454021147
2019-05-22,117.37900391,122.459999,41.49105937849961
2019-05-23,116.57049805000001,121.589996,41.282162308813525
2019-05-24,118.44099609000001,123.349998,39.79734081552224
2019-05-27,119.2475,124.190002,39.7979057927707
2019-05-28,119.2875,124.349998,40.711685415547855
2019-05-29,118.61099609000001,123.639999,40.67456284919565
2019-05-30,119.45900390999999,124.529999,40.72107227753219
2019-05-31,119.22799805000001,124.209999,40.10949996062705
2019-06-03,120.88549805000001,126.019997,40.743525410494925
2019-06-04,120.21650390999999,125.489998,42.023222360717654
2019-06-06,118.4375,123.879997,43.933622310307314
2019-06-07,118.70650391,123.82,41.2978201421418
2019-06-10,119.22700194999999,124.25,40.426543661971934
2019-06-11,119.65599609,125.010002,42.82862030511765
2019-06-12,119.06200195,124.120003,40.75089371372317
2019-06-13,119.14049805,124.220001,40.89118426266951
2019-06-14,118.23299805,123.57,43.190110463704684
2019-06-17,116.72150391,122.349998,46.00322175730648
2019-06-18,116.915,122.32,44.187377370830504
2019-06-19,116.91450194999999,122.190002,43.174563905809734
2019-06-20,118.3175,123.410004,41.26492046787394
2019-06-21,117.24099609000001,122.489998,42.85249404608522
2019-06-24,116.99650390999999,122.25,42.97338314928436
2019-06-25,117.96450195,123.339996,43.58273248200852
2019-06-26,118.47549805,123.839996,43.31797580161421
2019-06-27,118.41549805000001,123.879997,44.11122927295512
2019-06-28,117.88849609,123.650002,46.59527550998339
2019-07-01,118.65599609,124.120003,44.02196888441902
2019-07-02,119.10299805000001,124.370003,42.349479962623995
2019-07-03,119.1675,124.349998,41.67670352515805
2019-07-04,119.4675,124.970001,44.03057498575194
2019-07-05,118.11150391,123.540001,43.941209697739986
2019-07-08,115.58599609000001,121.07,45.296141983976085
2019-07-09,115.55900390999999,121.08000200000001,45.59793523954534
2019-07-10,114.98900391,120.510002,45.8136088156401
2019-07-11,115.82900391,121.279999,44.94554036069877
2019-07-12,115.525,121.099998,46.03631785361378
2019-07-15,115.88349609000001,121.290001,44.575025685752905
2019-07-16,116.62599609,122.279999,46.238166145225456
2019-07-17,116.875,122.43,45.372866127583166
2019-07-18,115.96900391,121.839996,48.18608242567573
2019-07-19,114.1925,119.959999,48.07851824006768
2019-07-22,113.46200195,119.18,47.977832270515236
2019-07-23,113.31049805,118.230003,41.609615369797375
2019-07-24,112.71299805000001,118.41999799999999,48.19287321724142
2019-07-25,112.52150390999999,118.029999,46.67029684546562
2019-07-26,112.84299805,118.389999,46.853627813612846
2019-07-29,111.89200195,117.610001,48.618306278222065
2019-07-30,110.85400390999999,116.879997,51.557094838050126
2019-07-31,111.18,116.68,47.13747000342818
2019-08-01,109.8,115.400002,48.52687957492412
2019-08-02,109.97349609000001,116.019997,52.11602367133307
2019-08-05,108.62599609,114.18,48.6425285514101
2019-08-06,109.4825,115.199997,49.631051639697475
2019-08-07,108.555,114.279999,50.09624650066716
2019-08-08,110.32450195,116.139999,50.07316256305465
2019-08-09,111.09650391,116.790001,48.74986763635705
2019-08-13,109.25849609000001,115.139999,51.08131805698552
2019-08-14,110.29400390999999,115.879997,48.204981313556786
2019-08-16,110.47799805000001,116.25,49.651629677419265
2019-08-19,110.53900390999999,116.339996,49.86240578863359
2019-08-20,110.17,115.849998,49.028900285350005
2019-08-21,109.18700195,114.900002,49.72149652355972
2019-08-22,107.41349609000001,113.190002,51.03371152869135
2019-08-23,108.29349609,114.269997,52.30157580208914
2019-08-26,110.57849609,116.190002,48.295944688941525
2019-08-27,111.05349609000001,116.720001,48.547848367478906
2019-08-28,110.46099609000001,116.279999,50.04302511216907
2019-08-29,109.48299805,115.349998,50.86259255938603
2019-08-30,110.2325,116.33000200000001,52.415558283924085
2019-09-03,107.97900390999999,113.949997,52.400116254500716
2019-09-04,108.44650390999999,113.910004,47.96330346893861
2019-09-05,108.47900390999999,114.16999799999999,49.84666891209023
2019-09-06,109.46200195,115.019997,48.32198917549965
2019-09-09,110.03049805,115.66999799999999,48.75507951508729
2019-09-11,110.35700195,116.019997,48.810508502254194
2019-09-12,109.82799805,115.650002,50.341581057646636
2019-09-13,110.75900390999999,116.360001,48.135072549543956
2019-09-16,110.035,115.730003,49.20939127600299
2019-09-17,108.17599609000001,113.980003,50.92127353251591
2019-09-18,108.40650391,114.0,49.06575517543862
2019-09-19,107.04799805,112.730003,50.40366183614838
2019-09-20,112.74200194999999,118.410004,47.867594447509795
2019-09-23,116.00200195,122.32,51.651390206017005
2019-09-24,115.88200194999999,122.0,50.147525000000094
2019-09-25,114.40200195,120.129997,47.68163816735968
2019-09-26,115.71200195,121.25,45.67421072164947
2019-09-27,115.12400391,120.730003,46.434183307358964
2019-09-30,114.74450195,120.91999799999999,51.07092418244989
2019-10-01,113.59900391,119.620003,50.33438337231946
2019-10-03,113.14,118.989998,49.163779295130325
2019-10-04,111.7475,117.989998,52.907009965370094
2019-10-07,111.26400390999999,116.870003,47.967818482900284
2019-10-09,113.13299805000001,118.83000200000001,47.94247121194187
2019-10-10,112.34549805,118.220001,49.69127812814004
2019-10-11,113.05049805,118.540001,46.30928719158693
2019-10-14,113.41150391,119.040001,47.28240123250679
